Year,Name,MasFem,Gender_MF,Male_Female,Category,alldeaths,ZMasFem,ZMinPressure_A,ZNDAM
2003,Isabel,9.38889,1,Female,2,51,0.80815,-0.40799,-0.17703
2004,Alex,4.16667,0,Male,1,1,-0.81003,0.36646,-0.56168
2004,Charley,2.88889,0,Male,4,10,-1.20596,-1.23407,1.02367
2004,Frances,6,1,Female,2,7,-0.24194,-0.2531,0.41365
2004,Gaston,2.66667,0,Male,1,8,-1.27482,1.03765,-0.54892
2004,Ivan,1.05556,0,Male,3,25,-1.77405,-0.97592,0.87522
2004,Jeanne,8.5,1,Female,3,5,0.53272,-0.7694,0.22732
2005,Cindy,9.94444,1,Female,1,1,0.9803,1.34743,-0.535
2005,Dennis,2.44444,0,Male,3,15,-1.34368,-0.97592,-0.35718
2005,Ophelia,9.16667,1,Female,1,1,0.7393,0.88276,-0.55503
2005,Rita,9.5,1,Female,3,62,0.84258,-1.44059,0.26443
2005,Wilma,8.61111,1,Female,3,5,0.56715,-0.7694,1.44504
2007,Humberto,2.38889,0,Male,1,1,-1.36089,1.03765,-0.55812
2008,Dolly,9.83333,1,Female,1,1,0.94587,-0.09821,-0.47624
2008,Gustav,1.72222,0,Male,2,52,-1.56747,-0.71777,-0.22497
2008,Ike,1.88889,0,Male,2,84,-1.51583,-1.54384,1.01284
2011,Irene,9.27778,1,Female,1,41,0.77372,-0.66614,-0.01235
2012,Isaac,1.94444,0,Male,1,5,-1.49861,0.00505,1.2935
2012,Sandy,9,1,Female,2,159,0.68765,-1.02755,5.23657
